Berea sandstone (Bobich, 2005)
MPa
sigma3,sigma1
-4.9,10.1
-5.6,10.1
-6.2,20.1
-6.6,30.2
-7.0,40.0
-7.3,50.2
-5.9,60.3
-5.5,70.7
-2.3,80.3
-1.4,90.4
0.9,100.5
1.7,110.5
4.5,120.6
3.7,120.5
3.9,130.7
5.8,140.5
8.0,150.7
10.3,160.8
-6.9,20.1
-7.9,40.2
-6.8,60.4
-3.5,80.4
-2.1,100.5
-1.1,100.5
0.8,120.5
5.9,140.8
7.5,160.8
-6.0,10.0
-6.9,30.2
-6.9,50.0
-4.6,70.2
-2.4,90.3
2.2,110.0
4.3,130.9
1,86
5,79
20,209
40,256
50,305
100,428
170,523
5,90.5
10,112
15,141
40,217
