"branch","sigma_3","sigma_1","sigma_n","tau","alpha_deg","beta_deg","beta_rad","sigma_n_pri","tau_pri"
"NGC",-20,75.512492547151,-19.9955482644292,0.652055628437013,89.6088344525576,89.2176689051152,1.55714207334842,-0.99977741322146,0.0326027814218507
"NGC",-20,75.5124925471945,-19.9953228989947,0.668355967759286,89.5990553138715,89.1981106277431,1.55680071701226,-0.999766144949733,0.0334177983879643
"NGC",-20,75.5124925472436,-19.9950919693493,0.684656229202005,89.5892761751855,89.178552350371,1.5564593606761,-0.999754598467463,0.0342328114601002
"NGC",-20,75.5124925472989,-19.9948554755199,0.700956410865792,89.5794970364994,89.1589940729989,1.55611800433994,-0.999742773775994,0.0350478205432896
"NGC",-20,75.512492547361,-19.9946134175341,0.717256510851312,89.5697178978134,89.1394357956267,1.55577664800378,-0.999730670876704,0.0358628255425656
"NGC",-20,75.5124925474306,-19.9943657954201,0.733556527259207,89.5599387591273,89.1198775182546,1.55543529166762,-0.999718289771005,0.0366778263629603
"NGC",-20,75.5124925475083,-19.9941126092068,0.749856458190141,89.5501596204412,89.1003192408825,1.55509393533145,-0.999705630460339,0.0374928229095071
"NGC",-20,75.512492547595,-19.9938538589236,0.76615630174479,89.5403804817552,89.0807609635104,1.55475257899529,-0.99969269294618,0.0383078150872395
"NGC",-20,75.5124925476915,-19.9935895446007,0.782456056023828,89.5306013430691,89.0612026861383,1.55441122265913,-0.999679477230036,0.0391228028011914
"NGC",-20,75.5124925477985,-19.993319666269,0.798755719127973,89.5208222043831,89.0416444087661,1.55406986632297,-0.999665983313448,0.0399377859563986
"NGC",-19.9999999999999,75.512492547917,-19.9930442239597,0.815055289157923,89.511043065697,89.022086131394,1.55372850998681,-0.999652211197987,0.0407527644578962
"NGC",-19.9999999999999,75.5124925480479,-19.9927632177052,0.8313547642144,89.5012639270109,89.0025278540219,1.55338715365065,-0.999638160885259,0.04156773821072
"NGC",-19.9999999999999,75.5124925481924,-19.992476647538,0.847654142398137,89.4914847883249,88.9829695766498,1.55304579731448,-0.9996238323769,0.0423827071199069
"NGC",-19.9999999999999,75.5124925483514,-19.9921845134916,0.863953421809869,89.4817056496388,88.9634112992777,1.55270444097832,-0.99960922567458,0.0431976710904934
"NGC",-19.9999999999999,75.5124925485262,-19.9918868156,0.880252600550374,89.4719265109528,88.9438530219055,1.55236308464216,-0.999594340780002,0.0440126300275187
"NGC",-19.9999999999999,75.512492548718,-19.991583553898,0.896551676720415,89.4621473722667,88.9242947445334,1.552021728306,-0.999579177694898,0.0448275838360207
"NGC",-19.9999999999999,75.5124925489279,-19.9912747284208,0.912850648420776,89.4523682335806,88.9047364671613,1.55168037196984,-0.999563736421038,0.0456425324210388
"NGC",-19.9999999999998,75.5124925491575,-19.9909603392044,0.929149513752257,89.4425890948946,88.8851781897892,1.55133901563367,-0.999548016960219,0.0464574756876128
"NGC",-19.9999999999998,75.5124925494081,-19.9906403862855,0.945448270815658,89.4328099562085,88.8656199124171,1.55099765929751,-0.999532019314273,0.0472724135407829
"NGC",-19.9999999999998,75.5124925496813,-19.9903148697013,0.96174691771183,89.4230308175225,88.846061635045,1.55065630296135,-0.999515743485065,0.0480873458855915
"NGC",-19.9999999999998,75.5124925499787,-19.9899837894898,0.978045452541603,89.4132516788364,88.8265033576728,1.55031494662519,-0.99949918947449,0.0489022726270802
"NGC",-19.9999999999997,75.5124925503019,-19.9896471456896,0.994343873405835,89.4034725401503,88.8069450803007,1.54997359028903,-0.999482357284479,0.0497171936702917
"NGC",-19.9999999999997,75.5124925506527,-19.9893049383398,1.0106421784054,89.3936934014643,88.7873868029286,1.54963223395287,-0.999465246916991,0.0505321089202698
"NGC",-19.9999999999996,75.512492551033,-19.9889571674804,1.02694036564117,89.3839142627782,88.7678285255565,1.5492908776167,-0.999447858374022,0.0513470182820583
"NGC",-19.9999999999996,75.5124925514447,-19.9886038331519,1.04323843321407,89.3741351240922,88.7482702481844,1.54894952128054,-0.999430191657596,0.0521619216607035
"NGC",-19.9999999999995,75.5124925518899,-19.9882449353954,1.05953637922502,89.3643559854061,88.7287119708122,1.54860816494438,-0.999412246769772,0.0529768189612508
"NGC",-19.9999999999995,75.5124925523706,-19.9878804742528,1.07583420177494,89.35457684672,88.7091536934401,1.54826680860822,-0.999394023712642,0.0537917100887471
"NGC",-19.9999999999994,75.5124925528892,-19.9875104497666,1.0921318989648,89.344797708034,88.689595416068,1.54792545227206,-0.999375522488329,0.0546065949482401
"NGC",-19.9999999999993,75.512492553448,-19.9871348619798,1.10842946889556,89.3350185693479,88.6700371386959,1.5475840959359,-0.999356743098989,0.0554214734447778
"NGC",-19.9999999999993,75.5124925540494,-19.9867537109362,1.12472690966821,89.3252394306619,88.6504788613237,1.54724273959973,-0.999337685546809,0.0562363454834107
"NGC",-19.9999999999992,75.512492554696,-19.9863669966802,1.14102421938378,89.3154602919758,88.6309205839516,1.54690138326357,-0.99931834983401,0.0570512109691888
"NGC",-19.9999999999991,75.5124925553905,-19.9859747192569,1.15732139614326,89.3056811532898,88.6113623065795,1.54656002692741,-0.999298735962846,0.0578660698071631
"NGC",-19.9999999999989,75.5124925561357,-19.985576878712,1.17361843804772,89.2959020146037,88.5918040292074,1.54621867059125,-0.999278843935602,0.058680921902386
"NGC",-19.9999999999988,75.5124925569344,-19.9851734750919,1.1899153431982,89.2861228759176,88.5722457518353,1.54587731425509,-0.999258673754594,0.0594957671599101
"NGC",-19.9999999999987,75.5124925577898,-19.9847645084435,1.20621210969581,89.2763437372316,88.5526874744632,1.54553595791892,-0.999238225422175,0.0603106054847906
"NGC",-19.9999999999985,75.512492558705,-19.9843499788145,1.22250873564164,89.2665645985455,88.533129197091,1.54519460158276,-0.999217498940726,0.061125436782082
"NGC",-19.9999999999984,75.5124925596833,-19.9839298862532,1.23880521913681,89.2567854598595,88.5135709197189,1.5448532452466,-0.999196494312662,0.0619402609568406
"NGC",-19.9999999999982,75.5124925607281,-19.9835042308086,1.25510155828247,89.2470063211734,88.4940126423468,1.54451188891044,-0.999175211540431,0.0627550779141235
"NGC",-19.999999999998,75.5124925618431,-19.9830730125302,1.27139775117977,89.2372271824873,88.4744543649747,1.54417053257428,-0.999153650626512,0.0635698875589884
"NGC",-19.9999999999978,75.5124925630319,-19.9826362314684,1.28769379592992,89.2274480438013,88.4548960876025,1.54382917623812,-0.999131811573418,0.0643846897964958
"NGC",-19.9999999999976,75.5124925642984,-19.9821938876739,1.30398969063411,89.2176689051152,88.4353378102304,1.54348781990195,-0.999109694383693,0.0651994845317053
